Station Name,Longitude,Latitude,Climate ID,Province,Year,Month,Tm,DwTm,D,Tx,DwTx,Tn,DwTn,S,DwS,S%N,P,DwP,P%N,S_G,Pd,BS,DwBS,BS%,HDD,CDD,province
AMHERST (AUT),-64.267,45.85,8200091,NS,1999,8,17.8,0.0,,27.0,0.0,7.9,0.0,,,,90.2,0.0,,,12.0,,,,29.9,25.0,NS
AMHERST (AUT),-64.267,45.85,8200091,NS,1999,9,17.5,1.0,,30.6,1.0,4.6,0.0,,,,143.6,3.0,,,9.0,,,,49.6,33.9,NS
AMHERST (AUT),-64.267,45.85,8200091,NS,1999,10,6.9,0.0,,17.7,0.0,-3.5,0.0,,,,78.4,0.0,,,9.0,,,,342.8,0.0,NS
AMHERST (AUT),-64.267,45.85,8200091,NS,1999,11,3.6,1.0,,16.1,1.0,-8.9,0.0,,,,29.4,1.0,,,6.0,,,,416.9,0.0,NS
AMHERST (AUT),-64.267,45.85,8200091,NS,1999,12,-1.7,0.0,,12.2,0.0,-16.2,0.0,,,,100.6,0.0,,,10.0,,,,612.2,0.0,NS
AMHERST (AUT),-64.267,45.85,8200091,NS,2000,1,-5.8,6.0,,14.3,5.0,-20.6,4.0,,,,131.8,6.0,,,12.0,,,,595.2,0.0,NS
AMHERST (AUT),-64.267,45.85,8200091,NS,2000,2,-4.8,3.0,,14.1,3.0,-19.8,3.0,,,,29.0,3.0,,,2.0,,,,594.0,0.0,NS
AMHERST (AUT),-64.267,45.85,8200091,NS,2000,3,0.2,3.0,,13.4,2.0,-10.6,1.0,,,,65.4,2.0,,,8.0,,,,499.3,0.0,NS
AMHERST (AUT),-64.267,45.85,8200091,NS,2000,4,4.6,0.0,,19.0,0.0,-4.3,0.0,,,,57.6,0.0,,,11.0,,,,402.2,0.0,NS
AMHERST (AUT),-64.267,45.85,8200091,NS,2000,5,8.4,1.0,,19.1,1.0,-0.6,1.0,,,,104.2,1.0,,,11.0,,,,287.3,0.0,NS
AMHERST (AUT),-64.267,45.85,8200091,NS,2000,6,14.0,0.0,,25.6,0.0,1.0,0.0,,,,49.8,0.0,,,7.0,,,,121.7,2.6,NS
AMHERST (AUT),-64.267,45.85,8200091,NS,2000,7,17.3,3.0,,29.1,2.0,8.9,2.0,,,,37.8,3.0,,,6.0,,,,28.2,9.9,NS
