ClimateID,Date/Time,EventType,MaxGust_kmh,P95_Threshold,ExtremeFlag
8400104,2009-08-23,Extreme Wind,95.0,91.0,1
8400104,2009-10-14,Extreme Wind,104.0,91.0,1
8400104,2009-10-17,Extreme Wind,120.0,91.0,1
8400104,2009-12-01,Extreme Wind,98.0,91.0,1
8400104,2009-12-02,Extreme Wind,96.0,91.0,1
8400104,2009-12-03,Extreme Wind,98.0,91.0,1
8400104,2009-12-10,Extreme Wind,96.0,91.0,1
8400104,2009-12-11,Extreme Wind,96.0,91.0,1
8400104,2010-03-24,Extreme Wind,104.0,91.0,1
8400104,2010-05-09,Extreme Wind,93.0,91.0,1
8400104,2010-09-21,Extreme Wind,132.0,91.0,1
8400104,2010-10-30,Extreme Wind,93.0,91.0,1
8400104,2010-12-21,Extreme Wind,104.0,91.0,1
8400104,2010-12-22,Extreme Wind,93.0,91.0,1
8400104,2010-12-27,Extreme Wind,98.0,91.0,1
8400104,2011-01-24,Extreme Wind,91.0,91.0,1
8400104,2011-01-27,Extreme Wind,93.0,91.0,1
8400104,2011-02-26,Extreme Wind,106.0,91.0,1
8400104,2011-03-01,Extreme Wind,111.0,91.0,1
8400104,2011-04-02,Extreme Wind,96.0,91.0,1
8400104,2011-04-12,Extreme Wind,107.0,91.0,1
8400104,2011-04-14,Extreme Wind,95.0,91.0,1
8400104,2011-04-18,Extreme Wind,98.0,91.0,1
8400104,2011-04-24,Extreme Wind,96.0,91.0,1
8400104,2011-10-06,Extreme Wind,102.0,91.0,1
8400104,2011-11-11,Extreme Wind,96.0,91.0,1
8400104,2011-11-12,Extreme Wind,95.0,91.0,1
8400104,2011-12-01,Extreme Wind,96.0,91.0,1
8400104,2011-12-08,Extreme Wind,124.0,91.0,1
8400104,2011-12-09,Extreme Wind,100.0,91.0,1
8400104,2011-12-29,Extreme Wind,100.0,91.0,1
8400104,2011-12-30,Extreme Wind,91.0,91.0,1
8400104,2012-01-04,Extreme Wind,107.0,91.0,1
8400104,2012-01-28,Extreme Wind,98.0,91.0,1
8400104,2012-02-12,Extreme Wind,117.0,91.0,1
8400104,2012-02-25,Extreme Wind,100.0,91.0,1
8400104,2012-03-04,Extreme Wind,96.0,91.0,1
8400104,2012-09-11,Extreme Wind,120.0,91.0,1
8400104,2012-11-06,Extreme Wind,95.0,91.0,1
8400104,2012-11-29,Extreme Wind,91.0,91.0,1
8400104,2012-11-30,Extreme Wind,96.0,91.0,1
8400104,2012-12-09,Extreme Wind,93.0,91.0,1
8400104,2012-12-11,Extreme Wind,91.0,91.0,1
8400104,2012-12-23,Extreme Wind,95.0,91.0,1
8400104,2012-12-24,Extreme Wind,96.0,91.0,1
8400104,2012-12-28,Extreme Wind,91.0,91.0,1
8400104,2013-01-10,Extreme Wind,98.0,91.0,1
8400104,2013-01-11,Extreme Wind,109.0,91.0,1
8400104,2013-01-31,Extreme Wind,111.0,91.0,1
8400104,2013-02-04,Extreme Wind,111.0,91.0,1
8400104,2013-02-05,Extreme Wind,98.0,91.0,1
8400104,2013-02-17,Extreme Wind,106.0,91.0,1
8400104,2013-03-22,Extreme Wind,91.0,91.0,1
8400104,2013-04-06,Extreme Wind,107.0,91.0,1
8400104,2013-08-10,Extreme Wind,96.0,91.0,1
8400104,2013-10-27,Extreme Wind,96.0,91.0,1
8400104,2013-11-01,Extreme Wind,91.0,91.0,1
8400104,2013-11-08,Extreme Wind,111.0,91.0,1
8400104,2013-11-23,Extreme Wind,91.0,91.0,1
8400104,2013-11-28,Extreme Wind,104.0,91.0,1
8400104,2013-12-04,Extreme Wind,98.0,91.0,1
8400104,2013-12-19,Extreme Wind,109.0,91.0,1
8400104,2014-01-03,Extreme Wind,95.0,91.0,1
8400104,2014-01-04,Extreme Wind,91.0,91.0,1
8400104,2014-01-07,Extreme Wind,117.0,91.0,1
8400104,2014-01-12,Extreme Wind,98.0,91.0,1
8400104,2014-01-15,Extreme Wind,96.0,91.0,1
8400104,2014-01-23,Extreme Wind,107.0,91.0,1
8400104,2014-01-26,Extreme Wind,122.0,91.0,1
8400104,2014-01-27,Extreme Wind,91.0,91.0,1
8400104,2014-02-14,Extreme Wind,117.0,91.0,1
8400104,2014-02-15,Extreme Wind,104.0,91.0,1
8400104,2014-02-16,Extreme Wind,113.0,91.0,1
8400104,2014-02-17,Extreme Wind,106.0,91.0,1
8400104,2014-03-13,Extreme Wind,102.0,91.0,1
8400104,2014-09-22,Extreme Wind,98.0,91.0,1
8400104,2014-11-08,Extreme Wind,113.0,91.0,1
8400104,2014-11-19,Extreme Wind,93.0,91.0,1
8400104,2014-12-04,Extreme Wind,93.0,91.0,1
8400104,2014-12-25,Extreme Wind,93.0,91.0,1
8400104,2015-01-05,Extreme Wind,91.0,91.0,1
8400104,2015-01-06,Extreme Wind,96.0,91.0,1
8400104,2015-01-09,Extreme Wind,106.0,91.0,1
8400104,2015-01-13,Extreme Wind,95.0,91.0,1
8400104,2015-01-25,Extreme Wind,132.0,91.0,1
8400104,2015-02-03,Extreme Wind,120.0,91.0,1
8400104,2015-02-06,Extreme Wind,119.0,91.0,1
8400104,2015-02-15,Extreme Wind,93.0,91.0,1
8400104,2015-02-22,Extreme Wind,93.0,91.0,1
8400104,2015-02-25,Extreme Wind,96.0,91.0,1
8400104,2015-03-18,Extreme Wind,91.0,91.0,1
8400104,2015-03-22,Extreme Wind,98.0,91.0,1
8400104,2015-03-23,Extreme Wind,91.0,91.0,1
8400104,2015-04-11,Extreme Wind,95.0,91.0,1
8400104,2015-05-22,Extreme Wind,104.0,91.0,1
8400104,2015-10-29,Extreme Wind,93.0,91.0,1
8400104,2015-10-30,Extreme Wind,93.0,91.0,1
8400104,2015-12-19,Extreme Wind,100.0,91.0,1
8400104,2015-12-20,Extreme Wind,98.0,91.0,1
8400104,2016-01-13,Extreme Wind,91.0,91.0,1
8400104,2016-01-14,Extreme Wind,96.0,91.0,1
8400104,2016-01-29,Extreme Wind,91.0,91.0,1
8400104,2016-02-04,Extreme Wind,95.0,91.0,1
8400104,2016-02-06,Extreme Wind,109.0,91.0,1
8400104,2016-02-17,Extreme Wind,115.0,91.0,1
8400104,2016-02-25,Extreme Wind,93.0,91.0,1
8400104,2016-02-26,Extreme Wind,111.0,91.0,1
8400104,2016-03-21,Extreme Wind,91.0,91.0,1
8400104,2016-03-22,Extreme Wind,96.0,91.0,1
8400104,2016-03-23,Extreme Wind,107.0,91.0,1
8400104,2016-03-24,Extreme Wind,96.0,91.0,1
8400104,2016-04-03,Extreme Wind,115.0,91.0,1
8400104,2016-04-04,Extreme Wind,113.0,91.0,1
8400104,2016-04-27,Extreme Wind,93.0,91.0,1
8400104,2016-10-10,Extreme Wind,98.0,91.0,1
8400104,2016-10-19,Extreme Wind,93.0,91.0,1
8400104,2016-11-27,Extreme Wind,91.0,91.0,1
8400104,2016-12-16,Extreme Wind,122.0,91.0,1
8400104,2016-12-27,Extreme Wind,104.0,91.0,1
8400104,2016-12-30,Extreme Wind,102.0,91.0,1
8400104,2017-01-08,Extreme Wind,102.0,91.0,1
8400104,2022-11-21,Extreme Wind,117.0,91.0,1
8400104,2022-11-22,Extreme Wind,96.0,91.0,1
8400104,2022-11-24,Extreme Wind,99.0,91.0,1
8400104,2022-12-01,Extreme Wind,102.0,91.0,1
8400104,2022-12-13,Extreme Wind,92.0,91.0,1
8400104,2022-12-24,Extreme Wind,95.0,91.0,1
8400104,2023-01-13,Extreme Wind,97.0,91.0,1
8400104,2023-01-14,Extreme Wind,101.0,91.0,1
8400104,2023-01-23,Extreme Wind,106.0,91.0,1
8400104,2023-01-26,Extreme Wind,101.0,91.0,1
8400104,2023-01-27,Extreme Wind,99.0,91.0,1
8400104,2023-02-04,Extreme Wind,105.0,91.0,1
8400104,2023-02-21,Extreme Wind,97.0,91.0,1
8400104,2023-03-20,Extreme Wind,106.0,91.0,1
8400104,2023-08-31,Extreme Wind,96.0,91.0,1
8400104,2023-10-21,Extreme Wind,102.0,91.0,1
8400104,2023-11-19,Extreme Wind,100.0,91.0,1
8400104,2023-12-11,Extreme Wind,98.0,91.0,1
8400104,2023-12-12,Extreme Wind,108.0,91.0,1
8400104,2023-12-19,Extreme Wind,91.0,91.0,1
8400104,2024-01-11,Extreme Wind,92.0,91.0,1
8400104,2024-01-18,Extreme Wind,95.0,91.0,1
8400104,2024-01-19,Extreme Wind,95.0,91.0,1
8400104,2024-02-14,Extreme Wind,98.0,91.0,1
8400104,2024-02-24,Extreme Wind,102.0,91.0,1
8400104,2024-02-29,Extreme Wind,95.0,91.0,1
